0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/owl.carousel.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/bootstrap.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/magnific-popup-options.js HTTP/1.1" 404 1158
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/jquery.waypoints.min.js HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/jquery.magnific-popup.min.js HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/main.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/owl.carousel.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/img_3_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/img_2_square.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/person_1.jpg HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/person_2.jpg HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/jquery.waypoints.min.js HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/person_3.jpg HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/js/jquery.magnific-popup.min.js HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:13:21 +0700] "GET /GimAndFit/home/img/img_4_square.jpg HTTP/1.1" 404 1150
